chinese,english,math,society,science,PR,H_GPA,B,B_10,B_5,B_3,B_2
77.65,41.72,89.52,64.4,66.62,90,1.4,56,E,F,F,F
45.06,23.15,85.12,64.4,89.35,90,2.301,58,E,F,F,F
77.65,74.96,79.25,64.4,75.28,87,2.647,81.33,B,B,A,A
30.45,29.35,85.12,18.88,75.28,71,2.513,40,G,F,F,F
45.06,35.1,85.12,37.76,75.28,81,1.723,60,E,D,B,A
30.45,65.01,89.52,37.76,45.98,65,3.064,61.67,D,D,B,A
61.62,35.1,89.52,78.79,82.8,78,2.28,86.33,B,B,A,A
30.45,35.1,93.81,27.58,56.84,65,2.959,80.33,B,B,A,A
45.06,56.09,89.52,64.4,56.84,92,2.896,82.67,B,B,A,A
30.45,56.09,85.12,52.26,75.28,84,1.75,58.67,E,F,F,F
30.45,48.84,89.52,52.26,75.28,54,3.567,75.33,C,C,B,A
30.45,41.72,85.12,27.58,45.98,84,1.666,71.67,C,C,B,A
30.45,56.09,85.12,10.35,45.98,62,3.289,73.33,C,C,B,A
61.62,74.96,79.25,78.79,75.28,81,2.583,78.67,C,C,B,A
45.06,35.1,89.52,27.58,75.28,71,1.18,42.5,F,F,F,F
19.15,35.1,85.12,27.58,66.62,68,1.45,77.33,C,C,B,A
45.06,23.15,89.52,52.26,97.83,65,1.772,71.33,C,C,B,A
30.45,23.15,89.52,78.79,75.28,71,2.514,68.33,D,D,B,A
77.65,41.72,93.81,37.76,82.8,85,1.684,63,D,D,B,A
61.62,56.09,85.12,37.76,56.84,50,2.882,77,C,C,B,A
61.62,35.1,85.12,52.26,75.28,71,2,78.33,C,C,B,A
77.65,56.09,85.12,52.26,75.28,95,2.257,74.33,C,C,B,A
61.62,65.01,85.12,37.76,75.28,84,1.625,60.33,D,D,B,A
45.06,48.84,85.12,37.76,66.62,57,1.277,70.33,C,C,B,A
61.62,48.84,85.12,37.76,75.28,72,1.791,54.33,E,F,F,F
77.65,35.1,85.12,64.4,82.8,67,2.43,78.67,C,C,B,A
